Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
State Street Coffee Company,"211 W State St, Cheboygan, MI 49721",(231) 597-9575,4.0,15,$,Coffee & Tea,"Stopped for a quick cup to go and ended up sitting and enjoying this nice little shop.The drink was great, the price was just right, and the place is just comfortable.Thanks…","https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/J2ZUkmwownh3Do7aoCg_Ww/258s.jpg 2.87x",http://www.yelp.com/biz/state-street-coffee-company-cheboygan-2?osq=Coffee
Cuppa Life,"3859 S Straits Hwy, Indian River, MI 49749",(231) 238-2316,4.5,7,$,"Coffee & Tea,Coffee Roasteries,Sandwiches",Great addition to Indian River. Small batch roasted coffee. The baked goods are great especially the scones. Everything made from scratch in house.Been here several times and the…,"https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/pQEdzqiTKvMExnSt4dHu3g/258s.jpg 2.87x",http://www.yelp.com/biz/cuppa-life-indian-river?osq=Coffee
Dripworks,"207 Howard St, Petoskey, MI 49770",(231) 881-9227,5.0,75,$$,"Coffee & Tea,Bakeries,Donuts","This coffee shop was a revelation. Everything here is excellent. The service and the quality of the coffee blew me away. I've had coffee all over these United States, as well as in…","https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/nZWlN_RrDbQRmQ8OsS-jaw/258s.jpg 2.87x",http://www.yelp.com/biz/dripworks-petoskey?osq=Coffee
Lucky Bean Coffeehouse,"7383 Market St, Mackinac Island, MI 49757",,4.5,64,$,"Cafes,Coffee & Tea",Great little coffee shop with great coffee!Very friendly service and nice to support local as opposed to the mega chain.One block off of Main Street but worth the extra 30 steps!,"https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/9wUiDWlzhFuLdReunz3TKg/258s.jpg 2.87x",http://www.yelp.com/biz/lucky-bean-coffeehouse-mackinac-island?osq=Coffee
North Star Coffee,"4104 S Straits Hwy, Indian River, MI 49749",(231) 238-6810,5.0,,$,"Coffee & Tea,Breakfast & Brunch,Sandwiches","Great little addition to the Indian River area! Serving Starbucks coffee/espresso + their own gyros (veg option available), salads, and pastries. A big draw is the drive-through ~ a…","https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/NxHkcfnFModWMCMYVKNy9Q/258s.jpg 2.87x",http://www.yelp.com/biz/north-star-coffee-indian-river-2?osq=Coffee
North Perk Coffee,"308 Howard St, Petoskey, MI 49770",(231) 753-2053,4.5,53,$$,"Coffee & Tea,Donuts,Bagels",Perfect way to start the day. Triple Macchiato and a blueberry muffin before we pile in the Jeep to head home. Staff is friendly and professional. Shop is immaculately clean and…,"https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/opA4Nbu-md8gqmGsJATb3w/258s.jpg 2.87x",http://www.yelp.com/biz/north-perk-coffee-petoskey?osq=Coffee
Harbor Hope Coffee,"132 S State St, St Ignace, MI 49781",(906) 984-2036,4.0,3,,"Coffee & Tea,Community Service/Non-Profit",Great spot and options! There's a beautiful view of the marina across the street while you enjoy your coffee here! It's a lovely setup and quite cozy with a fireplace that will be…,"https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/LvWeXFF5ABH2sttFpG6nTw/258s.jpg 2.87x",http://www.yelp.com/biz/harbor-hope-coffee-st-ignace?osq=Coffee
Your Spirit,"414 N Main St, Cheboygan, MI 49721",(231) 268-3443,4.0,33,$,"Breakfast & Brunch,Coffee & Tea,Juice Bars & Smoothies","This place was too cute. Instantly greeted w/a smile & asked to sit anywhere. We had all the staff waiting on us at one time or another & even the cook, come to find out. Place is…","https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/RddmzyiNecwH3dy-XB4J5Q/258s.jpg 2.87x",http://www.yelp.com/biz/your-spirit-cheboygan?osq=Coffee
Roast & Toast,"309 E Lake St, Petoskey, MI 49770",(231) 347-7767,4.0,185,$,"American (Traditional),Breakfast & Brunch,Coffee Roasteries","we are spending a few days in the petoskey area, camping and riding bikes. as such, we need a really good coffee shop to augment our own campsite brew. we tried two other local shops…","https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/m0cJc9f-9IO-Xj_690mFkw/258s.jpg 2.87x",http://www.yelp.com/biz/roast-and-toast-petoskey?osq=Coffee
Java Joe’s Cafe,"959 N State St, Saint Ignace, MI 49781",(906) 643-5282,4.0,158,$$,"Pizza,American (Traditional),Coffee & Tea","It doesn't look like much from the outside, but I'm glad we stopped here!!The lobster sensation mac n' cheese I got was awesome!! My daughter rarely eats mac and she almost…","https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/XkBNE_VmZGeL4sfyzCvR6Q/258s.jpg 2.87x",http://www.yelp.com/biz/java-joes-cafe-saint-ignace?osq=Coffee